<<<<<<< HEAD
DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
191910313,5/13/2019 0:00,1/1/2010 0:00,1200,19,Mission,1962,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0529 1257 0558 0536,2,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,9200    SEPULVEDA                    BL,,34.2374,-118.4676
191910770,5/17/2019 0:00,9/1/2010 0:00,1200,19,Mission,1954,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0444 0515 1258,5,F,B,707,GARAGE/CARPORT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,15000    SEPTO                        ST,,34.2509,-118.4598
190713097,6/27/2019 0:00,8/24/2010 0:00,1,7,Wilshire,789,1,820,ORAL COPULATION,0500 0507,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,,,2100    9TH                          AV,,34.038,-118.3272
191911755,6/11/2019 0:00,1/1/2010 0:00,1200,19,Mission,1913,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0913 1257 0510 0906,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,15400    COBALT                       ST,,34.3095,-118.4672
192004683,1/14/2019 0:00,9/1/2010 0:00,1900,20,Olympic,2091,2,813,CHILD ANNOYING (17YRS & UNDER),1258 1901,12,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,813,,,,2300 W  21ST                         ST,,34.0381,-118.3148
192006175,2/15/2019 0:00,12/15/2010 0:00,1700,20,Olympic,2097,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0400 1258 1251 0510 0522,4,F,H,222,LAUNDROMAT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,SANTA MONICA                 BL,NORMANDIE                    AV,34.0372,-118.3003
191314534,7/5/2019 0:00,2/1/2010 0:00,1300,13,Newton,1383,2,354,THEFT OF IDENTITY,0100 0928 1822,18,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,100 E  59TH                         PL,,33.9861,-118.2739
192011700,5/28/2019 0:00,7/1/2010 0:00,1200,20,Olympic,2035,2,624,BATTERY - SIMPLE ASSAULT,2024 0522 0510 1251 1258,5,F,H,704,ELEMENTARY SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700 S  CATALINA                     ST,,34.0598,-118.2979
192011701,5/28/2019 0:00,1/1/2010 0:00,1200,20,Olympic,2038,2,860,BATTERY WITH SEXUAL CONTACT,0522 0505 1251 1257,4,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,600    SHATTO                       PL,,34.0608,-118.2903
190516508,10/7/2019 0:00,8/5/2010 0:00,1,5,Harbor,517,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0503 0505 0360 0913,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1000    EUBANK                       AV,,33.7831,-118.2552
192108621,4/13/2019 0:00,12/1/2010 0:00,1200,21,Topanga,2156,2,354,THEFT OF IDENTITY,1822 0928,32,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6200    OWENSMOUTH                   AV,,34.1829,-118.6015
191207242,2/16/2019 0:00,1/1/2010 0:00,1,12,77th Street,1233,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0558 1258 0522 0503 0444 0510 0305 0520,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,760,812,,,1600 W  59TH                         ST,,33.9875,-118.3046
191911201,5/16/2019 0:00,1/1/2010 0:00,600,19,Mission,1913,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 1817 1257 0551,4,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,15400    COBALT                       ST,,34.3095,-118.4672
191011755,7/2/2019 0:00,6/29/2010 0:00,2100,10,West Valley,1079,1,480,BIKE - STOLEN,0397 0344,30,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,4800    WOODLEY                      AV,,34.1577,-118.4836
191917040,9/24/2019 0:00,1/1/2010 0:00,1,19,Mission,1921,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 1817 0528 0532 0448 0538 0558,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,12600    HADDON                       AV,,34.2997,-118.4696
190416259,9/10/2019 0:00,7/5/2010 0:00,1200,4,Hollenbeck,404,1,122,"RAPE, ATTEMPTED",1257 0913 0400 0522 0515,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,122,812,,,5900    MONTEREY                     RD,,34.1045,-118.1848
190916063,8/30/2019 0:00,8/29/2010 0:00,1930,9,Van Nuys,955,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,13,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,998,,,14300    CHANDLER                     BL,,34.1684,-118.4443
191610890,6/29/2019 0:00,1/1/2010 0:00,1200,16,Foothill,1687,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0551 0552 1251 1258,3,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,11000    LORNE                        ST,,34.2175,-118.3703
191222630,9/13/2019 0:00,8/1/2010 0:00,1200,12,77th Street,1257,1,121,"RAPE, FORCIBLE",1258 1251 0516 0522 0526 0527 0536 0537 0552 1203,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,600 W  78TH                         ST,,33.9688,-118.2842
191915122,8/9/2019 0:00,1/1/2010 0:00,1200,19,Mission,1977,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1817 0552 2002 0505 1257 0522,4,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,13600    RAYEN                        ST,,34.2385,-118.4293
192117804,10/29/2019 0:00,10/28/2010 0:00,2230,21,Topanga,2189,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,35,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,20700    DEFOREST                     ST,,34.1603,-118.5851
190307679,2/15/2019 0:00,1/1/2010 0:00,1400,3,Southwest,312,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0361 0519 1251 1258 2021,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,,,,2900 S  ORANGE                       DR,,34.0276,-118.3551
191717340,10/28/2019 0:00,1/1/2010 0:00,1500,17,Devonshire,1745,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0503 1259 1251 0522 0512 0537 0556 0913 2021,7,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,813,821,,,17200    GERMAIN                      ST,,34.2624,-118.5088
191513272,6/28/2019 0:00,1/1/2010 0:00,1200,15,N Hollywood,1539,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0400 0552 1258 0446 0416 0522,3,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,860,,,5800    SATSUMA                      AV,,34.1758,-118.367
191601065,11/26/2019 0:00,1/1/2010 0:00,2000,16,Foothill,1612,2,860,BATTERY WITH SEXUAL CONTACT,1259 0522,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,13100    MERCER                       ST,,34.2719,-118.4178
190223126,12/11/2019 0:00,12/1/2010 0:00,800,2,Rampart,211,1,820,ORAL COPULATION,1251 1258 0500 0507 0400 0556 0602 1415 1402 0432,2,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,998,,500    HELIOTROPE                   DR,,34.0794,-118.2953
191323643,12/11/2019 0:00,12/9/2010 0:00,2200,13,Newton,1317,1,310,BURGLARY,0344 0329,41,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,1400 E  15TH                         ST,,34.026,-118.246
192021356,12/12/2019 0:00,11/28/2010 0:00,1200,20,Olympic,2042,2,354,THEFT OF IDENTITY,0928 0100,46,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800 S  SAINT ANDREWS                PL,,34.0581,-118.3112
190917708,10/2/2019 0:00,8/1/2010 0:00,1200,9,Van Nuys,939,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",533,16,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,810,,,,6200    MORSE                        AV,,34.1853,-118.4155
192012873,6/28/2019 0:00,1/1/2010 0:00,1200,20,Olympic,2039,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0445 0556 1251 1258,6,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,627,,,,2800    LEEWARD                      AV,,34.0588,-118.2842
191113399,7/10/2019 0:00,7/9/2010 0:00,645,11,Northeast,1177,1,440,THEFT PLAIN - PETTY ($950 & UNDER),325,0,X,X,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,AO,Adult Other,440,,,,2000 N  FIGUEROA                     ST,,34.0884,-118.2258
191608589,5/1/2019 0:00,7/1/2010 0:00,1200,16,Foothill,1612,2,860,BATTERY WITH SEXUAL CONTACT,1258 0503 0505 0448 0522,15,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,13000    LOUVRE                       ST,,34.2771,-118.4156
191718543,11/14/2019 0:00,1/1/2010 0:00,1800,17,Devonshire,1776,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0400 0448 0444 0408 2000 1814,18,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,PLUMMER,WOODLEY,34.2438,-118.498
190913152,7/1/2019 0:00,2/6/2010 0:00,1,9,Van Nuys,989,2,910,KIDNAPPING,0418 2021 1202,52,M,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,910,,,,13900    MILBANK                      ST,,34.153,-118.4359
190515351,9/12/2019 0:00,1/1/2010 0:00,800,5,Harbor,525,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1202 1702 0562 0913,50,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,900    MCDONALD,,33.7716,-118.271
192016620,9/10/2019 0:00,9/9/2010 0:00,1730,20,Olympic,2045,2,647,THROWING OBJECT AT MOVING VEHICLE,1309 1310 0447,36,F,H,101,STREET,305,FIXED OBJECT,IC,Invest Cont,647,,,,MARIPOSA                     ST,JAMES M WOOD                 BL,34.0559,-118.2987
192016638,9/10/2019 0:00,9/1/2010 0:00,1,20,Olympic,2019,2,860,BATTERY WITH SEXUAL CONTACT,500,17,F,W,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,3400 W  1ST                          ST,,34.0735,-118.2868
190815484,9/11/2019 0:00,9/10/2010 0:00,2000,8,West LA,859,1,330,BURGLARY FROM VEHICLE,1822 0321 0344 1609,22,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,1500 S  WOOSTER                      ST,,34.052,-118.383
191222450,9/11/2019 0:00,1/1/2010 0:00,1200,12,77th Street,1233,1,122,"RAPE, ATTEMPTED",0522 0360 1258 1251 0537 0536,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,122,812,,,1700 W  59TH                         ST,,33.9876,-118.3068
190815734,9/17/2019 0:00,3/13/2010 0:00,1000,8,West LA,827,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0352 0603,28,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,200 S  BARRINGTON                   AV,,34.0646,-118.4692
190815961,9/23/2019 0:00,1/1/2010 0:00,1200,8,West LA,889,2,813,CHILD ANNOYING (17YRS & UNDER),1251 0536 1257,4,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,813,,,,2000 S  HOLT                         AV,,34.0412,-118.3813
190816248,9/28/2019 0:00,9/29/2010 0:00,5,8,West LA,828,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,35,F,O,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,10700    WILSHIRE                     BL,,34.0649,-118.4372
190325192,11/23/2019 0:00,1/1/2010 0:00,1200,3,Southwest,314,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0505 0554,3,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,812,860,,,3700 W  27TH                         ST,,34.0312,-118.3251
191617957,12/4/2019 0:00,1/1/2010 0:00,1200,16,Foothill,1623,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 0500 0522 1258,6,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,10800    LEHIGH                       AV,,34.2665,-118.4144
190108958,3/13/2019 0:00,8/9/2010 0:00,800,1,Central,158,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",344,79,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,668,,,,500    GLADYS                       AV,,34.0421,-118.2405
192113651,7/31/2019 0:00,1/1/2010 0:00,900,21,Topanga,2175,2,354,THEFT OF IDENTITY,377,48,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,22100    BURBANK                      BL,,34.172,-118.6084
190914106,7/22/2019 0:00,7/11/2010 0:00,1435,9,Van Nuys,929,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0394 0344,19,M,O,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,341,,,,6500    VARNA                        AV,,34.1885,-118.4247
192105524,2/4/2019 0:00,10/1/2010 0:00,1200,21,Topanga,2146,1,121,"RAPE, FORCIBLE",1258 0500 0503 0527 0522 0515,15,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,21400    HART                         ST,,34.1974,-118.5977
190714415,7/29/2019 0:00,2/1/2010 0:00,1,7,Wilshire,769,2,354,THEFT OF IDENTITY,0561 0562,44,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1500    ARLINGTON                    AV,,34.0454,-118.3207
201604623,12/5/2019 0:00,1/1/2010 0:00,1200,16,Foothill,1641,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0448 0552,3,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627,,,,13300    TERRA BELLA                  ST,,34.2552,-118.4225
191318275,9/9/2019 0:00,8/29/2010 0:00,1200,13,Newton,1373,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,700 E  54TH                         ST,,33.9933,-118.263
190220541,10/2/2019 0:00,10/31/2010 0:00,1200,2,Rampart,203,1,761,BRANDISH WEAPON,0602 0334 0421 0553 1259,6,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761,,,,4000    MARATHON                     ST,,34.0846,-118.2868
191516947,9/5/2019 0:00,8/16/2010 0:00,1200,15,N Hollywood,1599,1,121,"RAPE, FORCIBLE",0400 0507 0913 1820 1309,21,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,WRIGHTWOOD                   DR,MT CASTLE                    DR,34.1284,-118.3568
190909972,4/26/2019 0:00,1/1/2010 0:00,1500,9,Van Nuys,915,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1258 0558 0515,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,810,812,,,7000    LENNOX                       AV,,34.1976,-118.4455
190816703,10/8/2019 0:00,5/18/2010 0:00,1,8,West LA,848,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1606 1236 1822,52,F,W,120,STORAGE SHED,,,IC,Invest Cont,341,,,,10100    EMPYREAN                     WY,,34.054,-118.409
191821766,10/20/2019 0:00,10/20/2010 0:00,1200,18,Southeast,1806,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0500 0522 0551 0552,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,8800    AVALON                       BL,,33.9534,-118.2651
191519483,10/25/2019 0:00,1/1/2010 0:00,1200,15,N Hollywood,1525,2,354,THEFT OF IDENTITY,0377 1822,51,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11700    HAMLIN                       ST,,34.1888,-118.3877
190815990,9/23/2019 0:00,9/12/2010 0:00,1700,8,West LA,882,1,330,BURGLARY FROM VEHICLE,0344 1822,25,M,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,2300    SAWTELLE                     BL,,34.0368,-118.44
190816425,10/2/2019 0:00,10/2/2010 0:00,1600,8,West LA,805,2,888,TRESPASSING,1236,35,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,2100    STRATFORD                    CI,,34.107,-118.4747
191821812,10/19/2019 0:00,10/19/2010 0:00,1130,18,Southeast,1841,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0448,14,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,600 W  109TH                        PL,,33.9365,-118.2848
191009107,4/30/2019 0:00,12/7/2010 0:00,1200,10,West Valley,1018,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,15800    SATICOY                      ST,,34.2085,-118.4771
191009109,4/30/2019 0:00,12/7/2010 0:00,1200,10,West Valley,1018,1,820,ORAL COPULATION,1257,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,820,,,15800    SATICOY                      ST,,34.2085,-118.4771
190814890,8/29/2019 0:00,8/29/2010 0:00,1820,8,West LA,882,1,330,BURGLARY FROM VEHICLE,0344 1609 1822,14,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,11200 W  OLYMPIC                      BL,,34.0363,-118.4446
192016370,9/5/2019 0:00,11/5/2010 0:00,1,20,Olympic,2016,2,354,THEFT OF IDENTITY,100,19,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 S  KENMORE                      AV,,34.0709,-118.2985
191009108,4/30/2019 0:00,12/7/2010 0:00,1200,10,West Valley,1018,2,762,LEWD CONDUCT,1259,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,762,,,,15800    SATICOY                      ST,,34.2085,-118.4771
190814065,8/12/2019 0:00,8/12/2010 0:00,1830,8,West LA,852,1,310,BURGLARY,1822 1606 0344 0394,21,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1500 S  WESTGATE                     AV,,34.0424,-118.4592
190507812,3/28/2019 0:00,1/1/2010 0:00,1200,5,Harbor,529,1,121,"RAPE, FORCIBLE",1309 0913 0500 0443 1820 0527 0400 0422,44,F,H,101,STREET,511,VERBAL THREAT,AO,Adult Other,121,,,,FLINT                        AV,ANAHEIM                      ST,33.7807,-118.2494
190615446,7/13/2019 0:00,6/1/2010 0:00,1200,6,Hollywood,678,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0500 0558 1258,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,900 N  OXFORD                       AV,,34.0862,-118.3078
190812899,7/19/2019 0:00,7/18/2010 0:00,2340,8,West LA,826,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2024 0104 0325 1236 0344,-8,X,X,403,DRUG STORE,,,IC,Invest Cont,442,,,,11900 W  SAN VICENTE                  BL,,34.0571,-118.474
190317711,7/29/2019 0:00,7/1/2010 0:00,1200,3,Southwest,332,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1259 0448 0522 0505 2021 0558,7,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,2600    WEST                         BL,,34.0326,-118.3416
192118427,10/31/2019 0:00,1/1/2010 0:00,1200,21,Topanga,2133,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0360 0522 1258 0913,4,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,7200    MAYNARD                      AV,,34.201,-118.6213
191226689,11/11/2019 0:00,10/13/2010 0:00,1500,12,77th Street,1242,2,354,THEFT OF IDENTITY,0100 1822 1266,18,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6500    3RD                          AV,,33.9807,-118.3207
190221580,11/11/2019 0:00,11/11/2010 0:00,308,2,Rampart,221,2,623,BATTERY POLICE (SIMPLE),1212 0416,0,X,X,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623,,,,4000    OAKWOOD                      AV,,34.0777,-118.2932
191920959,12/20/2019 0:00,1/1/2010 0:00,1200,19,Mission,1954,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0360,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,762,812,,,SEPULVEDA                    BL,DEVONSHIRE                   ST,34.2573,-118.4674
191426038,9/11/2019 0:00,5/9/2010 0:00,1700,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,42,M,W,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,341,,,,400    WORLD                        WY,,33.9433,-118.4072
190819743,12/17/2019 0:00,12/17/2010 0:00,1410,8,West LA,842,1,210,ROBBERY,0344 1822 1815 1259,6,F,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,210,,,,11800    TEXAS                        AV,,34.0461,-118.4609
191915191,8/20/2019 0:00,10/20/2010 0:00,1,19,Mission,1987,2,354,THEFT OF IDENTITY,1822,20,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8800    MATILIJA                     AV,,34.2297,-118.4376
190510572,5/15/2019 0:00,4/25/2010 0:00,1800,5,Harbor,532,1,121,"RAPE, FORCIBLE",0448 0515 0527 0537 0556 1258 1220 0512 0522 0416,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,812,,,1100    WILMINGTON                   BL,,33.7844,-118.2746
191915208,8/20/2019 0:00,4/11/2010 0:00,1200,19,Mission,1954,2,860,BATTERY WITH SEXUAL CONTACT,0522 0515 0360 0543 0602 1817 1258,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,10000    LEMONA                       AV,,34.2573,-118.463
190405933,2/15/2019 0:00,9/15/2010 0:00,900,4,Hollenbeck,412,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0400 1258 1251 0360 0515 0522,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,815,,,2100 N  BROADWAY,,34.0806,-118.2176
